song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,mel_mean,mel_std,mel_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
PALAYE ROYALE - Anxiety (Official Music Video) (128kbit_AAC).m4a,[92.28515625],112878,1465.948051948052,0.45531854,0.32660592,0.106671415,0.4386002,0.27823094,0.07741245,0.24080323,0.15920787,0.025347143,15.587552,151.3528,22907.668,-0.60859096,59.7056,3564.7585,0.0056902315,1.7067834,2.9131095,0.2054862,0.16458698,0.027088871,1558.6537812345596,898.9830312433943,808170.4904635617,1806.5954768771685,672.3246170254474,452020.3906584145,21.456125640305423,11.12736689576253,123.81829403291182,3110.8520224367503,1980.9471921067775,3924151.777915726,2.2012504960207693,3.392618015039883,11.509856995973154,-0.015546025760468995,0.12085666572300095,0.014606333649681193,0.05753234296391254,0.055298792183963975,0.003057956417005235,0.00039304773,0.21753037,0.04731946,0.00024340842,0.08632884,0.0074526696,34.03924728332891,14.604015447336332,213.2772671860382
Panic! At The Disco_ I Write Sins Not Tragedies [OFFICIAL VIDEO] (128kbit_AAC).m4a,[86.1328125],108501,1291.6785714285713,0.32507122,0.30573857,0.093476065,0.48430982,0.2633202,0.06933754,0.26571903,0.11281279,0.012726724,1.633721,10.551664,111.337616,-5.797187,58.499325,3422.1711,0.008722918,3.108376,9.662002,0.07603364,0.040352426,0.0016283185,2109.914284498635,928.0832578000535,861338.5334087607,2381.192597793971,636.121007985713,404649.9368007596,23.244670287466022,10.95897610848062,120.09915734624904,4537.785060634554,2191.115366324872,4800986.548544979,0.9306769746682195,1.2774243993131102,1.6318130959604604,0.019280437163565114,0.10055215613227837,0.010110736102850086,0.08759281878869969,0.05223183901328126,0.0027281650067093304,-4.8461934e-06,0.056586288,0.0032020079,-0.00010178227,0.044843514,0.0020109406,29.992717849044382,17.11587631849748,292.9532221501029
Pantera - Revolution Is My Name (Official Music Video) [4K Remaster] (128kbit_AAC).m4a,[143.5546875],158885,1231.6666666666667,0.4754165,0.28144687,0.07921234,0.59190726,0.21840237,0.047699597,0.2774967,0.0795546,0.006328935,7.9853597,40.54943,1644.2563,4.472143,31.125648,968.80597,0.011581493,2.0208051,4.083653,0.1883476,0.043552913,0.0018968564,2260.471580084286,485.8609952507619,236060.9067060609,2225.0198186605176,409.96237562150964,168069.14942523176,21.376854274800433,12.452535200471443,155.06563291898038,4486.272872121711,1037.3249336537283,1076043.017979712,2.8684298362473806,3.071274982140433,9.432730015921715,-0.002760364354465325,0.05882404679122534,0.0034602684808962684,0.11228087812016253,0.033225975942205964,0.0011039654773120496,-4.51399e-06,0.12982216,0.016853794,-0.00026373973,0.087969996,0.0077387197,28.599244142101284,15.963419615005709,254.83076580474898
Pantera - Walk (Official Music Video) [4K] (128kbit_AAC).m4a,[57.421875],73686,1292.7368421052631,0.5436309,0.26300073,0.06916938,0.59888816,0.22668009,0.05138386,0.27267218,0.09477985,0.00898322,1.9858515,10.633916,113.08017,0.5238827,40.392437,1631.5491,0.010648951,3.8743765,15.010793,0.09638842,0.03338159,0.0011143304,3110.031121683127,710.6013346631454,504954.2568250435,2559.4481294593506,384.7245383854532,148012.97043590003,21.65388907301724,12.451275568936504,155.03426329359507,5854.422932438806,1307.8087219672227,1710363.6532535406,1.4284001114966025,1.6700263819281966,2.7889881163361827,-0.006584832213450726,0.06136047287204439,0.003765107631080895,0.16237033336155185,0.06577711682254936,0.004326629097487307,-4.8837055e-06,0.06427251,0.0041309553,-0.00025335542,0.05296223,0.0028049978,30.017290846163025,17.044745092099035,290.52333525463416
Papa Roach - Between Angels And Insects (128kbit_AAC).m4a,[123.046875],160191,1302.3658536585365,0.46963277,0.2799766,0.0783869,0.47112313,0.25514752,0.06510025,0.25679168,0.13187635,0.01739137,3.0538602,17.82697,317.8008,-1.3922913,37.594913,1413.3776,0.013391217,1.8277701,3.3407435,0.11104251,0.052551873,0.0027616995,2668.807811834405,753.518511188681,567790.1467040065,2273.8208133601465,487.48322498951416,237639.89464617727,22.724674784249512,12.337555548778047,152.215276919184,5082.056769497993,1363.3298161206337,1858668.1875235208,1.6301869033666982,1.9612776483158012,3.8466100137831596,0.015797520451224487,0.107521794564712,0.011560936306416133,0.14072326093266255,0.06096393247533991,0.0037166010628578044,-5.9680946e-07,0.09078071,0.0082411375,-1.6130385e-05,0.048638117,0.0023656662,30.240876057740167,17.1173462439353,293.00354243476596
Papa Roach - Getting Away With Murder (128kbit_AAC).m4a,[103.359375],77552,994.2564102564103,0.5381282,0.26120138,0.06822616,0.61016357,0.20726445,0.042958554,0.27694792,0.08144444,0.0066331974,1.6394602,10.005279,100.105606,1.9281583,35.498455,1260.1404,0.013783822,2.1448138,4.600226,0.08666185,0.026992628,0.000728602,2914.6573333768183,718.1984511912417,515809.0152934984,2608.158455712094,377.30573523277246,142359.61783954297,20.335095316357116,11.479748693418111,131.78463006403481,5786.669175469839,1212.8768375058073,1471070.2229580886,1.355748217747581,1.5127570609341674,2.2884339254061805,0.01769931676254939,0.05521479135199802,0.0030486731840446753,0.15804420683775156,0.06587751488342126,0.004339846967215391,-1.923706e-06,0.053884715,0.0029035625,-1.076848e-05,0.044738416,0.0020015258,23.086588755160186,13.050620076325789,170.31868437659773
Papa Roach - Last Resort lyrics (128kbit_AAC).m4a,[92.28515625],76899,1240.3064516129032,0.394738,0.31409365,0.098654814,0.51994634,0.26111054,0.06817872,0.25979957,0.10880513,0.011838555,10.329606,72.16369,5207.598,-1.0138772,48.38887,2341.483,0.013639722,2.785455,7.758759,0.19077201,0.11607025,0.013472303,2469.729958095239,1295.7137344949153,1678874.0817587597,2152.740799807682,944.7562564462177,892564.3840942713,20.170141297806932,11.267374053899228,126.95371807048154,4814.062556688999,2344.867738315764,5498404.710194088,2.771393673724696,3.76155041370598,14.149261514851627,0.009634970130503224,0.06772992463207092,0.004587342690666007,0.1327217976006192,0.09484193560657551,0.008994992749601817,-1.1177259e-05,0.15113254,0.022841046,-0.00016639152,0.10572943,0.011178712,28.799859556725917,11.851099891646355,140.44856864178024
Papa Roach - Scars (Official Music Video) (128kbit_AAC).m4a,[89.10290948],95836,1168.7317073170732,0.37985232,0.29451784,0.08674077,0.42674598,0.26402637,0.06970993,0.24841931,0.14704141,0.021621177,15.293152,85.04125,7232.014,4.689819,22.556864,508.81207,0.009113943,1.9811102,3.9247975,0.25924307,0.08257886,0.006819268,2935.660121651629,754.2417818708813,568880.665519762,2612.862900096001,347.24592589478283,120579.733050525,22.276753346726192,11.438301758747832,130.83474712417376,5907.497611503483,1224.4538684779652,1499287.276030654,3.781005816113921,4.2482150739116005,18.047331314209746,-0.03574452978304929,0.13197745151597784,0.01741804770865228,0.14879898685419893,0.06949113741022106,0.004829018178566224,-3.0559906e-06,0.18899441,0.035718884,-0.00016691652,0.12553565,0.015759202,27.137897240196896,15.850570297611638,251.2405787595283
Papa Roach-Scars (lyrics) (128kbit_AAC).m4a,[89.10290948],62910,953.1818181818181,0.3810486,0.29485086,0.086937025,0.434924,0.26070526,0.067967236,0.25045922,0.1435392,0.020603502,5.7231565,31.562336,996.181,2.30734,25.455172,647.96576,0.011593459,2.0538695,4.21838,0.15931402,0.051259756,0.0026275627,2970.3298660863265,771.2206365716103,594781.2702739197,2618.2807293285227,374.6137966640822,140335.49665107834,21.99555103912056,11.8759784172291,141.03886336649137,5960.4014582678265,1269.7519352174274,1612269.9769884022,2.3539654884310086,2.64732306716206,7.008319421928338,-0.034177764450424745,0.12501343942914092,0.015628360037903483,0.15388021085284442,0.07085849150873677,0.005020925818893721,-1.9146803e-06,0.11508831,0.013245319,-8.569913e-05,0.077660196,0.0060311058,22.132838589981446,12.772040641257348,163.1250221419294
Parkway Drive - _Crushed_ (128kbit_AAC).m4a,[86.1328125],108193,1369.5316455696202,0.3840122,0.30601665,0.09364618,0.4695844,0.2804932,0.07867643,0.24253683,0.15655418,0.024509212,11.570223,76.12654,5795.25,-2.3648365,49.063114,2407.1892,0.011931888,1.2937126,1.6736923,0.19392624,0.12833762,0.016470544,2158.9020978887556,605.5163607592076,366650.0631470749,2202.8619725437147,411.2239187550919,169105.11135629442,23.878330216296543,12.46713894506119,155.42955347546143,4472.147957533137,1360.5464231107687,1851086.569439507,3.010801002509697,4.348527441207879,18.909690906937946,0.0037769101394802304,0.11916959615343274,0.014201392647372251,0.10103170200029024,0.03991516828363283,0.0015932206591107285,2.607782e-06,0.16640295,0.027689941,0.00012265853,0.09964908,0.009929938,31.800462699847863,16.072651613852912,258.3301299002886
